CandidateID,Designation,Have you Completed your Graduation ?,Highest Educational Qualification,Total no of years Experience [before joining Piramal],Previous Industry worked with [before joining Piramal],Name of your Previous Organization / Company,How many Organization that you have worked before joining Piramal Finance ?,Average Incentive [per month] earned in your pervious company ?,How did you come to know about the role at Piramal Finance ?,Which Products you are selling in your pervious role ?,What was the average ticket size handled at your end in previous role ?,How many members are there in your family ?,How many are earning family members ? [Other then yourself]2,How many members are dependent on you ?,Department,DOJ,Location Code,Residential Pincode,Branch Pincode,Performance
EMP0669,DST,Full Time,Graduate,5,NBFC,ADITYA BIRLA CAPITAL FINANCE ,03-May,Above 10K,Others,MSME / SME Loans;Others;,INR 5L - INR 15L,1 - 2 members,1,1,Mass Affluent Housing,04-05-23,6333,500036,500016,0
EMP0273,DST,Full Time,Graduate,1.5,Banking,IDFC FIRST BANK LIMITED,01-Feb,7K-10K,Advertisement / Job Portal,Personal Loans;,INR 50K - INR 2L,3 - 4 members,2,4,Sales,07-11-23,6048,621210,620001,1
EMP0300,DST,Full Time,Under Graduate,4.5,Banking,Onerufe Resource private limited,03-May,Less than 3K,Referral,Housing Loans;Personal Loans;MSME / SME Loans;Car Loans / Used Car Loans;,INR 15L and above,3 - 4 members,1,2,Affordable Housing,13-02-23,6329,627808,627811,1
EMP0100,DST,Full Time,Post Graduate,4.5,Banking,Kotak Mahindra Bank Ltd ,01-Feb,Above 10K,Consultant / Partners,Current / Savings account [CASA];,INR 15L and above,3 - 4 members,2,3,Affordable Housing,14-02-22,6263,221003,221010,1
EMP0319,DST,Full Time,Post Graduate,1,others,R.G Enterprises,01-Feb,Nil,others,Others;,Fresher,3 - 4 members,1,3,Affordable Housing,20-04-23,6059,636004,636004,0
EMP0110,DST,Full Time,Post Graduate,10,NBFC,DHFL,01-Feb,3K-7K,others,Housing Loans;,INR 50K - INR 2L,1 - 2 members,1,3,Affordable Housing,08-12-21,6292,110091,201301,0
EMP0034,DST,Full Time,Graduate,2,Banking,ICICI Bank ,03-May,Above 10K,Referral,Housing Loans;,INR 15L and above,5 & Above members,3,3,Affordable Housing,11-05-23,6264,273407,273001,1
EMP0918,DST,Full Time,Graduate,6.5,NBFC,,03-May,Above 10K,External consultant,Used Car Loan,INR 10L and above,3 - 4 members,,2,Sales,27-10-21,6020,502325,500029,0
EMP0235,DST,Full Time,Post Graduate,2,Banking,IDFC FIRST BANK ,01-Feb,Above 10K,Referral,Personal Loans;,INR 15L and above,3 - 4 members,2,2,Sales,16-10-23,6048,620102,620001,0
EMP0582,DST,Full Time,Graduate,3,NBFC,Tata capital housing Finance Ltd ,01-Feb,7K-10K,Referral,Housing Loans;Others;,INR 15L and above,5 & Above members,0,4,Sales,09-08-22,6310,490011,490023,0
EMP0689,DST,Full Time,Graduate,3,NBFC,Indiabulls Housing Finance Ltd ,01-Feb,Above 10K,Direct Application,Housing Loans;MSME / SME Loans;,INR 15L and above,5 & Above members,2,5,Secured Business Loan,07-07-22,6252,202001,202001,1
EMP0426,DST,Full Time,Graduate,2,Insurance,Reliance life insurance ,01-Feb,7K-10K,Referral,Housing Loans;,INR 50K - INR 2L,3 - 4 members,0,3,Affordable Housing,30-01-23,6341,504206,504208,1
EMP0268,DST,Full Time,Post Graduate,7,Banking,2,5+,7K-10K,Referral,Housing Loans;,INR 15L and above,1 - 2 members,1,1,Sales,05-10-23,6048,621204,620001,0
EMP0124,DST,Full Time,Graduate,9,NBFC,Fullarton India Credit Company Ltd ,03-May,Above 10K,Direct Application,MSME / SME Loans;Personal Loans;,INR 5L - INR 15L,3 - 4 members,1,2,Business Loans,10-11-21,6225,462023,462011,0
EMP0230,DST,Part time,Graduate,15,others,RR HOSPITALITY SERVICES ,03-May,Nil,Referral,FMCG;,INR 50K - INR 2L,3 - 4 members,1,3,Affordable Housing,28-09-23,6038,600032,600061,1
EMP0206,DST,Full Time,Graduate,2.5,NBFC,Prayaan capital ,01-Feb,3K-7K,Referral,MSME / SME Loans;,INR 5L - INR 15L,5 & Above members,2,0,Secured Business Loan,03-04-23,6040,635804,623006,1
EMP0174,DST,Full Time,Graduate,6,Banking,Kotak Mahindra Bank ,01-Feb,Above 10K,Consultant / Partners,Others;,Fresher,3 - 4 members,20000,2,Secured Business Loan,15-11-21,6059,636004,636004,0
EMP0593,DST,Full Time,Graduate,6,NBFC,INDIAN SCHOOL FINANCE COMPANY,03-May,Above 10K,Referral,Housing Loans;Others;, INR 2L - INR 5L,3 - 4 members,0,3,Business Loans,13-06-22,6004,534312,533101,0
EMP0548,DST,Full Time,Post Graduate,5,NBFC,Vistaar housing finance ,03-May,3K-7K,Others,Housing Loans;MSME / SME Loans;,INR 5L - INR 15L,5 & Above members,3,3,Affordable Housing,23-02-23,6347,635710,635601,0
EMP0448,DST,Full Time,Post Graduate,5,Banking,ICICI securities Ltd,5+,3K-7K,Advertisement / Job Portal,Housing Loans;MSME / SME Loans;,INR 50K and below,3 - 4 members,1,4,Mass Affluent Housing,06-02-23,6299,221104,110095,1
EMP0407,DST,Full Time,Post Graduate,8,NBFC,Aye finance pvt Ltd ,01-Feb,3K-7K,Consultant / Partners,MSME / SME Loans;,INR 50K - INR 2L,3 - 4 members,1,3,Affordable Housing,21-11-22,6130,302131,302001,1
EMP0659,DST,Full Time,Graduate,7,NBFC,Hdfc life and Bajaj finance,03-May,Above 10K,Consultant / Partners,Others;Housing Loans;, INR 2L - INR 5L,3 - 4 members,0,3,Affordable Housing,30-03-23,6089,586103,586101,0
EMP0677,DST,Full Time,Graduate,3,NBFC,Mahindra and Mahindra financial services ,01-Feb,3K-7K,Referral,Car Loans / Used Car Loans;Others;,INR 5L - INR 15L,5 & Above members,2,4,Sales,29-12-21,6105,571134,570004,1
EMP0781,DST,Full Time,Graduate,0,NBFC,,0 / Fresher,3K-7K,Referral,Housing Loan,INR 5L - INR 10L,5 & Above members,,2,Budget Housing,09-03-23,6023,509409,500062,1
EMP0251,DST,Full Time,Graduate,3,NBFC,HDB,01-Feb,3K-7K,Referral,Housing Loans;MSME / SME Loans;Personal Loans;, INR 2L - INR 5L,3 - 4 members,1,3,Mass Affluent Housing,16-10-23,6431,603110,603103,0
EMP0683,DST,Full Time,Post Graduate,5,NBFC,SHRIRAM FINANCE,01-Feb,Above 10K,Referral,Housing Loans;MSME / SME Loans;,INR 5L - INR 15L,3 - 4 members,3,1,Mass Affluent Housing,15-09-22,6355,754130,753012,0
EMP0745,DST,Full Time,Graduate,5.083333333,NBFC,,03-May,3K-7K,Referral,Unsecure Business Loan,INR 50K and below,1 - 2 members,,2,Business Loans,26-09-22,2241,110059,110055,0
EMP0117,DST,Full Time,Graduate,7,NBFC,MD PREM ASSOCIATES,01-Feb,Above 10K,Referral,MSME / SME Loans;,INR 15L and above,3 - 4 members,0,5,Business Loans,07-07-22,6115,382418,380009,0
EMP0705,DST,Part Time,Graduate,8,Banking,Rbl Bank,03-May,7K-10K,Advertisement / Job Portal,MSME / SME Loans;Personal Loans;,INR 5L - INR 15L,1 - 2 members,1,2,Business Loans,04-10-21,2088,400037,400063,1
EMP0578,DST,Full Time,Graduate,4,NBFC,Indiabulls,01-Feb,3K-7K,Referral,Housing Loans;Others;,INR 15L and above,1 - 2 members,1,1,Affordable Housing,06-04-23,2092,110062,122016,0
EMP0477,DST,Full Time,Post Graduate,6,NBFC,Aditya Birla Housing Finance,03-May,Above 10K,Consultant / Partners,Housing Loans;MSME / SME Loans;,INR 15L and above,3 - 4 members,1,2,Mass Affluent Housing,29-11-21,6256,226025,226010,0
EMP0368,DST,Full Time,Under Graduate,5,NBFC,Saggraha management services pvt ltd,03-May,3K-7K,others,Housing Loans;,INR 50K - INR 2L,1 - 2 members,0,2,Budget Housing,12-10-23,6059,637103,636004,0
EMP0313,DST,Full Time,Post Graduate,10,Banking,SURYODAY SMALL FINANCE BANK,01-Feb,Nil,Referral,Current / Savings account [CASA];Housing Loans;MSME / SME Loans;,Fresher,3 - 4 members,0,5,Affordable Housing,22-05-23,6048,621302,620001,0
EMP0597,DST,Full Time,Graduate,4,NBFC,BAJAJ FINSERV,01-Feb,7K-10K,Referral,Others;MSME / SME Loans;,INR 50K - INR 2L,3 - 4 members,0,4,Mass Affluent Housing,21-04-22,6014,524001,524001,1
EMP0688,DST,Full Time,Graduate,1,NBFC,Indiabulls ,03-May,Above 10K,Advertisement / Job Portal,Personal Loans;Others;,INR 50K - INR 2L,3 - 4 members,2,2,Sales,09-08-22,6257,226003,226001,1
EMP0118,DST,Full Time,Post Graduate,4,NBFC,Muthoot Housing Finance Company Ltd,03-May,Above 10K,Referral,Housing Loans;Personal Loans;MSME / SME Loans;Car Loans / Used Car Loans;,INR 15L and above,5 & Above members,2,6,Mass Affluent Housing,19-01-22,6046,625012,625002,0
EMP0712,DST,,,,NBFC,,,Above 10K,Referral,Housing Loan,INR 10L and above,3 - 4 members,,0,Mass Affluent Housing,20-04-23,6257,228142,226001,0
EMP0191,DST,Full Time,Post Graduate,3,Banking,ICICI BANK ,01-Feb,7K-10K,Referral,Housing Loans;,INR 15L and above,5 & Above members,35000,3,Secured Business Loan,09-06-22,6030,605009,605005,0
EMP0428,DST,Full Time,Graduate,8,Banking,YES bank Ltd ,5+,7K-10K,Referral,Current / Savings account [CASA];Housing Loans;Personal Loans;,INR 15L and above,1 - 2 members,2,2,Mass Affluent Housing,05-12-23,6015,517501,517502,0
EMP0626,DST,Full Time,Graduate,3,Banking,Au small finance company Ltd ,03-May,7K-10K,Referral,MSME / SME Loans;Current / Saving account [CASA];,INR 50K - INR 2L,3 - 4 members,1,3,Business Loans,15-09-22,6189,410505,410501,1
EMP0180,DST,Full Time,Post Graduate,4,NBFC,Vistaar finance services Pvt Ltd ,01-Feb,Above 10K,Referral,Housing Loans;MSME / SME Loans;,INR 15L and above,5 & Above members,2,3,Secured Business Loan,06-02-23,6040,635802,623006,1
EMP0207,DST,Full Time,Post Graduate,1,others,Qspiders Jpiders ,01-Feb,Above 10K,Referral,Others;,INR 50K - INR 2L,3 - 4 members,2,3,Sales,31-10-23,6035,600078,600010,0
EMP0032,DST,Full Time,Graduate,1.5,Banking,Axis Bank behalf of Quess corp limited ,01-Feb,3K-7K,Referral,Personal Loans;,INR 15L and above,3 - 4 members,2,3,Sales,09-03-23,2105,452011,452001,1
EMP0604,DST,Full Time,Graduate,4,NBFC,BAJAJ FINSERV ,01-Feb,7K-10K,Referral,Others;Personal Loans;, INR 2L - INR 5L,3 - 4 members,1,3,Affordable Housing,26-12-22,6245,456010,456001,0
EMP0563,DST,Full Time,Post Graduate,11,Insurance,Renewbuy.com,03-May,Above 10K,Direct Application,Housing Loans;Others;, INR 2L - INR 5L,5 & Above members,1,6,Affordable Housing,22-05-23,6349,422103,422103,0
EMP0577,DST,Full Time,Graduate,2,Banking,HDFC Bank ,01-Feb,Above 10K,Direct Application,Others;Current / Saving account [CASA];,INR 50K - INR 2L,5 & Above members,1,0,Affordable Housing,10-10-22,6360,244713,244713,0
EMP0897,DST,,,,NBFC,,,Above 10K,External consultant,Used Car Loan,INR 10L and above,3 - 4 members,,2,Sales,15-11-21,6020,500008,500029,1
EMP0771,DST,,,0,NBFC,,0 / Fresher,Less than 3K,Referral,Used Car Loan, INR 2L - INR 5L,3 - 4 members,,2,Sales,30-06-22,6115,382424,380009,0
EMP0025,DST,Full Time,Graduate,10,NBFC,Shriram City Union Finance Ltd ,01-Feb,Above 10K,Referral,MSME / SME Loans;Housing Loans;Personal Loans;,INR 15L and above,3 - 4 members,1,3,Affordable Housing,03-01-22,2162,422009,422005,1
EMP0670,DST,Full Time,Graduate,3.5,NBFC,Idfc first bank,03-May,Above 10K,Referral,MSME / SME Loans;Others;,INR 5L - INR 15L,5 & Above members,1,2,Business Loans,18-07-22,6297,110084,110050,0
EMP0889,DST,,,0,NBFC,,0 / Fresher,7K-10K,Referral,Housing Loan,INR 10L and above,5 & Above members,,2,Mass Affluent Housing,06-03-23,6390,380051,382110,0
EMP0635,DST,Full Time,Graduate,2.5,Banking,Bank of Baroda,01-Feb,Above 10K,Referral,Housing Loans;Others;,INR 15L and above,5 & Above members,0,5,Affordable Housing,15-12-22,6166,401501,401202,1
EMP0074,DST,Full Time,Graduate,3,Banking,HDFC BANK,01-Feb,7K-10K,Consultant / Partners,Others;, INR 2L - INR 5L,3 - 4 members,1,2,Affordable Housing,12-07-22,6067,695009,695014,0
EMP0785,DST,Full Time,Graduate,4.833333333,Banking,,03-May,Above 10K,Referral,Personal Loan,INR 10L and above,3 - 4 members,,2,Sales,29-09-22,6025,523169,500072,1
EMP0227,DST,Full Time,Under Graduate,0,others,City union bank ,0 / Fresher,Nil,Advertisement / Job Portal,Housing Loans;,Fresher,3 - 4 members,2,1,Budget Housing,15-12-23,6030,607001,605005,0
EMP0687,DST,Full Time,Graduate,2,NBFC,HDB financial services ,01-Feb,7K-10K,Referral,Personal Loans;Others;,INR 15L and above,3 - 4 members,2,2,Mass Affluent Housing,14-11-22,6022,500013,500035,1
EMP0805,DST,Full Time,Graduate,1.833333333,Others,,0 / Fresher,3K-7K,Referral,Housing Loan,INR 10L and above,3 - 4 members,,3,Affordable Housing,10-10-22,2241,201102,110055,0
EMP0149,DST,Full Time,Graduate,0,others,0,0 / Fresher,Nil,Advertisement / Job Portal,Housing Loans;,Fresher,5 & Above members,1,4,Affordable Housing,07-02-22,6327,504102,504106,1
EMP0429,DST,Full Time,Graduate,3,NBFC,Saath Mahila op. Ltd ,03-May,7K-10K,Consultant / Partners,Others;,INR 5L - INR 15L,5 & Above members,6,6,Affordable Housing,05-12-22,6116,384265,384002,0
EMP0868,DST,,,,NBFC,,,3K-7K,External consultant,Used Car Loan,INR 10L and above,5 & Above members,,3,Sales,21-08-23,6225,463106,462011,1
EMP0596,DST,Full Time,Graduate,10,Others,DILIPSON ENTERPRISE,5+,Above 10K,Referral,Housing Loans;Car Loans / Used Car Loans;,INR 15L and above,5 & Above members,2,3,Affordable Housing,08-05-23,6129,390011,390007,0
EMP0778,DST,Full Time,Graduate,3.666666667,NBFC,,03-May,Above 10K,Referral,Loan Against Property/ Secured Business Loan, INR 2L - INR 5L,3 - 4 members,,1,Secured Business Loan,09-08-22,6115,382480,380009,1
EMP0050,DST,Full Time,Post Graduate,5,NBFC,Bajaj Finserv ,01-Feb,7K-10K,Referral,Others;,INR 50K - INR 2L,5 & Above members,25,2,Mass Affluent Housing,02-03-23,6158,400708,410206,0
EMP0800,DST,Full Time,Post Graduate,4.5,NBFC,,03-May,7K-10K,Referral,Loan Against Property/ Secured Business Loan,INR 10L and above,5 & Above members,,2,Secured Business Loan,13-04-23,6115,382245,380009,0
EMP0783,DST,,,,NBFC,,,Nil,Referral,Housing Loan,INR 50K - INR 2L,3 - 4 members,,1,Affordable Housing,05-01-24,6482,641001,641402,1
EMP0140,DST,Full Time,Graduate,2.5,Banking,Yes bank ltd,01-Feb,Nil,Consultant / Partners,Current / Savings account [CASA];,INR 50K and below,3 - 4 members,1,3,Affordable Housing,01-12-22,6178,415639,415612,0
EMP0616,DST,Full Time,Post Graduate,5,Banking,IDFC BANK (BUZZ WORK ROLL) LOAN,01-Feb,3K-7K,Others,MSME / SME Loans;Personal Loans;,INR 5L - INR 15L,3 - 4 members,0,2,Business Loans,01-09-22,6243,452010,455001,0
EMP0007,DST,Full Time,Post Graduate,5,NBFC,Equitas bank,03-May,Above 10K,Direct Application,Housing Loans;,INR 50K - INR 2L,1 - 2 members,4,10,Affordable Housing,09-02-23,6374,323001,323001,1
EMP0554,DST,Full Time,Graduate,4,NBFC,DHFL ,01-Feb,3K-7K,Others,Housing Loans;MSME / SME Loans;,INR 50K and below,5 & Above members,3,0,Affordable Housing,08-12-21,6257,226020,226001,0
EMP0335,DST,Full Time,Post Graduate,1,NBFC,Manappuram Finance Ltd ,01-Feb,3K-7K,Referral,Others;,INR 50K and below,3 - 4 members,1,3,Sales,26-10-23,6066,676504,676121,0
EMP0446,DST,Part Time,Graduate,8,Banking,Kotak Mahindra Bank ,03-May,3K-7K,Referral,Others;Current / Saving account [CASA];,INR 50K and below,5 & above members,2,3,Mass Affluent Housing,02-02-23,6297,110086,110050,0
EMP0435,DST,Part Time,Graduate,6,NBFC,Motilal Oswal Housing Finance Ltd ,5+,3K-7K,Direct Application,Housing Loans;MSME / SME Loans;,INR 15L and above,3 - 4 members,1,3,Affordable Housing,05-09-22,6190,411019,411044,1
EMP0620,DST,Part Time,Graduate,11,Non NBFC,KATARIA AUTOMOBILES PVT LTD,5+,Nil,Consultant / Partners,Car Loans / Used Car Loans;Others;,INR 5L - INR 15L,5 & Above members,0,4,Sales,04-04-22,6127,360007,360005,1
EMP0606,DST,Full Time,Graduate,6,Banking,IDFC FIRST BANK LTD,01-Feb,Above 10K,Referral,Others;MSME / SME Loans;,INR 50K and below,5 & Above members,1,7,Business Loans,02-05-22,6294,110002,201010,0
EMP0746,DST,Full Time,Graduate,0,NBFC,,0 / Fresher,3K-7K,Referral,Housing Loan,INR 10L and above,1 - 2 members,,2,Mass Affluent Housing,24-04-23,2088,401203,400063,0
EMP0256,DST,Full Time,Graduate,7,NBFC,Tata capital housing finance limited ,01-Feb,3K-7K,others,Housing Loans;,INR 15L and above,3 - 4 members,0,3,Affordable Housing,08-06-23,6057,628002,628008,1
EMP0823,DST,,,,NBFC,,,7K-10K,External consultant,Housing Loan,INR 10L and above,5 & Above members,,1,Mass Affluent Housing,09-02-22,6246,248001,248001,1
EMP0311,DST,Full Time,Graduate,3,NBFC,Suryoday Small Finance Bank,01-Feb,3K-7K,Consultant / Partners,Others;,INR 50K - INR 2L,1 - 2 members,2,1,Affordable Housing,27-03-23,6030,605502,605005,0
EMP0761,DST,,,,Others,,,7K-10K,Referral,Used Car Loan,INR 5L - INR 10L,5 & Above members,,1,Sales,26-10-23,6297,110042,110050,0
EMP0363,DST,Full Time,Graduate,2,NBFC,Prayan,01-Feb,3K-7K,Referral,Housing Loans;,INR 5L - INR 15L,5 & Above members,3,0,Affordable Housing,31-10-23,6011,534003,534002,0
EMP0125,DST,Full Time,Graduate,3,NBFC,AAdhar housing Finance Ltd ,01-Feb,Above 10K,Referral,Housing Loans;MSME / SME Loans;,INR 5L - INR 15L,3 - 4 members,1,3,Mass Affluent Housing,31-01-22,6113,563121,560052,1
EMP0001,DST,Full Time,Post Graduate,4,others,Innovative Solution,01-Feb,3K-7K,Referral,Others;,Fresher,3 - 4 members,1,2,Affordable Housing,30-03-23,6298,221715,110076,0
EMP0090,DST,Full Time,Post Graduate,8.5,Banking,ICICI SECURITIES LTD ,01-Feb,Above 10K,Referral,Others;,Fresher,5 & Above members,0,4,Affordable Housing,17-01-22,6089,586101,586101,0
EMP0881,DST,,,5.166666667,Banking,,0 / Fresher,Above 10K,Referral,Unsecure Business Loan,INR 10L and above,1 - 2 members,,2,Business Loans,24-01-22,6294,110092,201010,1
EMP0146,DST,Full Time,Graduate,7,NBFC,BAJAJ HOUSING FINANCE ,01-Feb,Above 10K,Referral,Housing Loans;,INR 50K and below,5 & Above members,2,2,Sales,17-03-22,6127,360004,360005,1
EMP0272,DST,Full Time,Graduate,5,Banking,2,01-Feb,3K-7K,Referral,Personal Loans;,INR 15L and above,3 - 4 members,2,2,Sales,08-06-23,6345,641604,641604,0
EMP0010,DST,Full Time,Graduate,8,NBFC,Quess crop ltd,5+,Above 10K,Referral,Housing Loans;,INR 15L and above,5 & Above members,0,5,Affordable Housing,18-05-23,6116,382815,384002,0
EMP0358,DST,Part time,Graduate,9,others,Tata consumer products LTD,03-May,Above 10K,Referral,FMCG;,INR 15L and above,5 & Above members,2,3,Secured Business Loan,07-08-23,6296,110084,110034,1
EMP0373,DST,Full Time,Graduate,5,Banking,HDFC BANK LTD,03-May,Above 10K,Referral,Current / Savings account [CASA];Personal Loans;Car Loans / Used Car Loans;MSME / SME Loans;,INR 5L - INR 15L,3 - 4 members,0,2,Business Loans,29-12-21,2241,110032,110055,0
EMP0845,DST,Full Time,Graduate,0,NBFC,,0 / Fresher,Above 10K,Referral,Personal Loan,INR 10L and above,5 & Above members,,2,Mass Affluent Housing,27-04-23,6113,563101,560052,1
